conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,token,sentiment
1.88e+18,Sat Jan 25 10:55:59 +0000 2025,0,เด็กม.ปลาย มหาลัยคุยกันครับ #เงี่ยน #หื่น #เสียว #คุยเสียว #แอบคุย #แอบแซ่บ #นักเรียน #นักศึกษา #มัธยม #มหาลัย #หมอ #พยาบาล #นศพ,1.88e+18,,,th,Bangkok,0,0,0,https://x.com/ppn2154/status/1883106536106680663,1.88e+18,ppn2154,"['เด็กม.ปลาย', 'มหาลัยคุยกันครับ', '#', 'เงี่ยน', '#', 'หื่น', '#', 'เสียว', '#', 'คุยเสียว', '#', 'แอบคุย', '#', 'แอบแซ่บ', '#', 'นักเรียน', '#', 'นักศึกษา', '#', 'มัธยม', '#', 'มหาลัย', '#', 'หมอ', '#', 'พยาบาล', '#', 'นศพ']",netral
1.88e+18,Sat Jan 25 10:55:17 +0000 2025,0, Tertulia Parlamento en las ondas Navarra 25/01/25 @radioeuskadi. - Votación decretos-ley Congreso. - Recurso contra estabilización docentes PAI. - Reforma fiscal rentas bajas y medias. @upn_navarra PSN Bildu Geroa Bai y PPN. https://t.co/8it32bKpjS,1.88e+18,,,es,"Pamplona, Comunidad Foral de Navarra",0,0,0,https://x.com/angelansae/status/1883106361095106810,474446732.0,angelansae,"['tertulia', 'parlamento', 'en', 'las', 'ondas', 'navarra', '25/01/25', '@', 'radioeuskadi', '.', '-', 'votación', 'decretos-ley', 'congreso', '.', '-', 'recurso', 'contra', 'estabilización', 'docentes', 'pai', '.', '-', 'reforma', 'fiscal', 'rentas', 'bajas', 'y', 'medias', '.', '@', 'upn_navarra', 'psn', 'bildu', 'geroa', 'bai', 'y', 'ppn', '.', 'https', ':', '//t.co/8it32bkpjs']",netral
1.88e+18,Sat Jan 25 10:53:33 +0000 2025,1,iseng scroll twt sendiri trs nemu ini. I AM stressing the ppn 12% for a whole month. bukan tim finance tp menjadi garda terdepan menanggapi teror pertanyaan invoice kapan dikirim sangat melelahkan‍‍‍,1.88e+18,,,in,,0,0,0,https://x.com/5starmichellin/status/1883105923100770651,1.3e+18,5starmichellin,"['iseng', 'scroll', 'twt', 'sendiri', 'trs', 'nemu', 'ini', '.', 'i', 'am', 'stressing', 'the', 'ppn', '12', '%', 'for', 'a', 'whole', 'month', '.', 'bukan', 'tim', 'finance', 'tp', 'menjadi', 'garda', 'terdepan', 'menanggapi', 'teror', 'pertanyaan', 'invoice', 'kapan', 'dikirim', 'sangat', 'melelahkan\u200d\u200d\u200d']",netral
1.88e+18,Sat Jan 25 10:51:29 +0000 2025,0,@hinekureo_dayo それは絶妙なラインだね笑 一旦イジってみる？,1.88e+18,,hinekureo_dayo,ja,,0,0,0,https://x.com/umsgtomato_ppn6/status/1883105405175566578,1.77e+18,umsgtomato_ppn6,"['@', 'hinekureo_dayo', 'それは絶妙なラインだね笑', '一旦イジってみる？']",netral
1.88e+18,Sat Jan 25 10:50:59 +0000 2025,0,#集団ストーカーは実在します #生活保護 #外国人 #同和 #部落 #賃貸 生活保護を受給しながら日本人をいじめ抜く集団ストーカー犯罪の社会認知が進んでいます。 #全国 #北海道 #東北 #関東 #中部 #近畿 #中国 #四国 #九州 #沖縄 -高崎線- -上尾市-桶川市-北本市- -鴻巣市-行田市-熊谷市-,1.88e+18,,,ja,埼玉県 JR高崎線,0,0,0,https://x.com/PpnFIsfaCOiZldW/status/1883105278696309045,1.46e+18,PpnFIsfaCOiZldW,"['#', '集団ストーカーは実在します', '#', '生活保護', '#', '外国人', '#', '同和', '#', '部落', '#', '賃貸', '生活保護を受給しながら日本人をいじめ抜く集団ストーカー犯罪の社会認知が進んでいます。', '#', '全国', '#', '北海道', '#', '東北', '#', '関東', '#', '中部', '#', '近畿', '#', '中国', '#', '四国', '#', '九州', '#', '沖縄', '-高崎線-', '-上尾市-桶川市-北本市-', '-鴻巣市-行田市-熊谷市-']",netral
1.88e+18,Sat Jan 25 10:50:46 +0000 2025,0,awal taun ini bener2 sibuk y. ppn psk skena makan gratis buzzer omg tiada istirahat,1.88e+18,,,in,,0,1,0,https://x.com/blessed__loved/status/1883105222270255338,1.71e+18,blessed__loved,"['awal', 'taun', 'ini', 'bener2', 'sibuk', 'y.', 'ppn', 'psk', 'skena', 'makan', 'gratis', 'buzzer', 'omg', 'tiada', 'istirahat']",netral
1.88e+18,Sat Jan 25 10:50:15 +0000 2025,0,@crabiestick thx baby girl mari syukuran atas kenaikan 1 levelku,1.88e+18,,crabiestick,in,"she her, 19+, homophobic dni",0,1,0,https://x.com/riboens/status/1883105093236719746,1.77e+18,riboens,"['@', 'crabiestick', 'thx', 'baby', 'girl', 'mari', 'syukuran', 'atas', 'kenaikan', '1', 'levelku']",netral
1.88e+18,Sat Jan 25 10:49:14 +0000 2025,5,ファイアダンス映画館で聴くと重低音凄いし今ならアフターライブも見れるから是非行って欲しいね,1.88e+18,,,ja,,0,0,0,https://x.com/shina_ppn/status/1883104837623234696,1.81e+18,shina_ppn,['ファイアダンス映画館で聴くと重低音凄いし今ならアフターライブも見れるから是非行って欲しいね'],netral
1.88e+18,Sat Jan 25 10:49:12 +0000 2025,0,@Apriicate 15K + PPN buat kamu,1.88e+18,,Apriicate,in,Mirea/Rea.,0,0,0,https://x.com/alosingyou/status/1883104828756553953,1.64e+18,alosingyou,"['@', 'apriicate', '15k', '+', 'ppn', 'buat', 'kamu']",netral
1.88e+18,Sat Jan 25 10:48:44 +0000 2025,0,Skrg lagi drama kenaikan ⌨️,1.88e+18,,,in,"East Borneo, Indonesia",0,0,0,https://x.com/NaighMair/status/1883104711496315127,1.23e+18,NaighMair,"['skrg', 'lagi', 'drama', 'kenaikan', '⌨️']",netral
1.88e+18,Sat Jan 25 10:48:23 +0000 2025,2,Ngomong ngomong soal kenaikan indeks nilai ternyata batas minimal A 85 01 kita belum ada apa apanya guys dibanding punya tetangga. Tapi jujur selama kuliah di telyu! dan sebelum perubahan indeks nilai ini tuh gw agak gampang untuk dapet nilai bagus. Bukan (cont) https://t.co/ibzdtEOlns,1.88e+18,https://pbs.twimg.com/media/GiIhrL_acAAqg6-.jpg,,in,Kirim mfs tidak lewat DM,0,2,0,https://x.com/telyufess/status/1883104623910932641,89412430.0,telyufess,"['ngomong', 'ngomong', 'soal', 'kenaikan', 'indeks', 'nilai', 'ternyata', 'batas', 'minimal', 'a', '85', '01', 'kita', 'belum', 'ada', 'apa', 'apanya', 'guys', 'dibanding', 'punya', 'tetangga', '.', 'tapi', 'jujur', 'selama', 'kuliah', 'di', 'telyu', '!', 'dan', 'sebelum', 'perubahan', 'indeks', 'nilai', 'ini', 'tuh', 'gw', 'agak', 'gampang', 'untuk', 'dapet', 'nilai', 'bagus', '.', 'bukan', '(', 'cont', ')', 'https', ':', '//t.co/ibzdteolns']",positif
1.88e+18,Sat Jan 25 10:43:17 +0000 2025,0,@Manu37366 @bitgertbrise Coin buruk sepanjang masa.. 4tahun gak ada kenaikan harga yang signifikan..omong kosong semua,1.88e+18,,Manu37366,in,,0,0,0,https://x.com/bayu80180576/status/1883103342135816392,1.57e+18,bayu80180576,"['@', 'manu37366', '@', 'bitgertbrise', 'coin', 'buruk', 'sepanjang', 'masa', '..', '4tahun', 'gak', 'ada', 'kenaikan', 'harga', 'yang', 'signifikan', '..', 'omong', 'kosong', 'semua']",negatif
1.88e+18,Sat Jan 25 10:42:34 +0000 2025,0,@oreoismm @bgstyoo @seterahdeh najis,1.88e+18,,oreoismm,ht,,0,0,0,https://x.com/jijeling/status/1883103161424150745,1.79e+18,jijeling,"['@', 'oreoismm', '@', 'bgstyoo', '@', 'seterahdeh', 'najis']",netral
1.88e+18,Sat Jan 25 10:41:58 +0000 2025,0,@M0NTELLI I have no interest at all when her rinascita trailer drops but after seeing her in game and in the story I must have her in my account because she's so precious,1.88e+18,,M0NTELLI,en,SENTUL - MLG,0,0,0,https://x.com/choiruddinH/status/1883103008189513937,237647445.0,choiruddinH,"['@', 'm0ntelli', 'i', 'have', 'no', 'interest', 'at', 'all', 'when', 'her', 'rinascita', 'trailer', 'drops', 'but', 'after', 'seeing', 'her', 'in', 'game', 'and', 'in', 'the', 'story', 'i', 'must', 'have', 'her', 'in', 'my', 'account', 'because', 'she', ""'s"", 'so', 'precious']",netral
1.88e+18,Sat Jan 25 10:41:26 +0000 2025,0,Çok çıtırsın bebeğim ppn sıkmalık amcğn iki karmak kadar değil oohhfff,1.88e+18,,,tr,"Her yer, hiçbir yer.",0,0,0,https://x.com/By_Aydnn/status/1883102874869334439,1.64e+18,By_Aydnn,"['çok', 'çıtırsın', 'bebeğim', 'ppn', 'sıkmalık', 'amcğn', 'iki', 'karmak', 'kadar', 'değil', 'oohhfff']",netral
1.88e+18,Sat Jan 25 10:40:34 +0000 2025,0,@Yusufgkk0 @Shanksnoyan Sence nitelikli olsun ppn anon mu olur aq,1.88e+18,,Yusufgkk0,tr,,0,0,0,https://x.com/artikdegistin/status/1883102658002907287,1.83e+18,artikdegistin,"['@', 'yusufgkk0', '@', 'shanksnoyan', 'sence', 'nitelikli', 'olsun', 'ppn', 'anon', 'mu', 'olur', 'aq']",netral
1.88e+18,Sat Jan 25 10:39:40 +0000 2025,2,@kun_digi @riizzely Player wuwa sesungguhnya adalah player genshin yg kecewa ,1.88e+18,,kun_digi,in,SENTUL - MLG,0,1,0,https://x.com/choiruddinH/status/1883102431841796117,237647445.0,choiruddinH,"['@', 'kun_digi', '@', 'riizzely', 'player', 'wuwa', 'sesungguhnya', 'adalah', 'player', 'genshin', 'yg', 'kecewa']",negatif
